chr	start	end
chr10	3001252	3001468
chr10	3001990	3002096
chr10	3102618	3102897
chr10	3103777	3103948
chr10	3104651	3105129
chr10	3133948	3135475
chr10	3183148	3183291
chr10	3185685	3185961
chr10	3208111	3208332
chr10	3219748	3219907
chr10	3249382	3249754
chr10	3253633	3253717
chr10	3277885	3278010
chr10	3366680	3366781
chr10	3557685	3557820
chr10	3691375	3691836
chr10	3722704	3722801
chr10	3775119	3775462
chr10	3779535	3779821
chr10	3831626	3831826
chr10	3932047	3932206
chr10	3940962	3941118
chr10	3941620	3941820
chr10	3943041	3943186
chr10	3943895	3944157
chr10	3946324	3947298
chr10	3996724	3997040
chr10	4125159	4125264
chr10	4259603	4259905
chr10	4260184	4260381
chr10	4261582	4261747
chr10	4262418	4263008
chr10	4264209	4264322
chr10	4264693	4265118
chr10	4265264	4265836
chr10	4310331	4310589
chr10	4424026	4424338
chr10	4424468	4424959
chr10	4481608	4481730
chr10	4494004	4494161
chr10	4522185	4522636
chr10	4522786	4523042
chr10	4540271	4541599
chr10	4541739	4541853
chr10	4554295	4554535
chr10	4555171	4555710
chr10	4619928	4620026
chr10	4620752	4620882
chr10	4621360	4621552
chr10	4621714	4622009
chr10	4622464	4622878
chr10	4623991	4624535
chr10	4626257	4626414
chr10	4626591	4626864
chr10	4627000	4628306
chr10	4683566	4683736
chr10	4741907	4742333
chr10	4746569	4746637
chr10	4795947	4796319
chr10	4806897	4807117
chr10	4957082	4957854
chr10	5118447	5118650
chr10	5141264	5141411
chr10	5151762	5152013
chr10	5255972	5256690
chr10	5263424	5265679
chr10	5410589	5410908
chr10	5434064	5435246
chr10	5508739	5508992
chr10	5633668	5634289
chr10	5671096	5671220
chr10	5725418	5725579
chr10	5733925	5734066
chr10	5884052	5884429
chr10	5913355	5914362
chr10	5931906	5932144
chr10	5957878	5960286
chr10	5977293	5977742
chr10	5990527	5992031
chr10	5992528	5993292
chr10	5999614	5999700
chr10	6006483	6006584
chr10	6011576	6011718
chr10	6011916	6012247
chr10	6070378	6070531
chr10	6077846	6077981
chr10	6079591	6080191
chr10	6080797	6080958
chr10	6135929	6136077
chr10	6137135	6137485
chr10	6346439	6346516
chr10	6349328	6349777
chr10	6372642	6373490
chr10	6382440	6382619
chr10	6389697	6389931
chr10	6425391	6425866
chr10	6473226	6473584
chr10	6605575	6606254
chr10	6724859	6725658
chr10	6738592	6738954
chr10	6739649	6740454
chr10	6740673	6740797
chr10	6743787	6744166
chr10	6745298	6745539
chr10	6763535	6763808
chr10	6869312	6869393
chr10	6899279	6899471
chr10	6979375	6980378
chr10	7025245	7025838
chr10	7028380	7028782
chr10	7029878	7030215
chr10	7070458	7070570
chr10	7071015	7071096
chr10	7091926	7092168
chr10	7092331	7092454
chr10	7093826	7093984
chr10	7309325	7310626
chr10	7350595	7350848
chr10	7382469	7383428
chr10	7387175	7387322
chr10	7387460	7387571
chr10	7400580	7401760
chr10	7445734	7446018
chr10	7446230	7446329
chr10	7453155	7453544
chr10	7500101	7500862
chr10	7512452	7512899
chr10	7582146	7582478
chr10	7587180	7587803
chr10	7605649	7605825
chr10	7610415	7610568
chr10	7675145	7676819
chr10	7870685	7870778
chr10	7890752	7890891
chr10	7927251	7927378
chr10	7963177	7963256
chr10	7977697	7977774
chr10	7983220	7983378
chr10	8039488	8040059
chr10	8117359	8117651
chr10	8192031	8192192
chr10	8192368	8192528
chr10	8237364	8239141
chr10	8264037	8264171
chr10	8264802	8265195
chr10	8266289	8266852
chr10	8268609	8268713
chr10	8268903	8270590
chr10	8319122	8319488
chr10	8320114	8321033
chr10	8324299	8324744
chr10	8325903	8326065
chr10	8355131	8355530
chr10	8357286	8357464
chr10	8444911	8445512
chr10	8449539	8450216
chr10	8467603	8467910
chr10	8470580	8470898
chr10	8481913	8482029
chr10	8483731	8484179
chr10	8503910	8504125
chr10	8513861	8513991
chr10	8534064	8534248
chr10	8564147	8564275
chr10	8571289	8571387
chr10	8571647	8571724
chr10	8578202	8578380
chr10	8588518	8588749
chr10	8605489	8606502
chr10	8664832	8665072
chr10	8665202	8665390
chr10	8885223	8886013
chr10	8948912	8949086
chr10	9023235	9023298
chr10	9202044	9202162
chr10	9228949	9229408
chr10	9394289	9396044
chr10	9396790	9396927
chr10	9403713	9403818
chr10	9419194	9419349
chr10	9482591	9482713
chr10	9489221	9489369
chr10	9517790	9518063
chr10	9566954	9567328
chr10	9569702	9570029
chr10	9571306	9571576
chr10	9573811	9574107
chr10	9574321	9574431
chr10	9619677	9619871
chr10	9620195	9621517
chr10	9621792	9622006
chr10	9746600	9747153
chr10	10192144	10192326
chr10	10277392	10277986
chr10	10292821	10293152
chr10	10304304	10305051
chr10	10312978	10313118
chr10	10313758	10314236
chr10	10387060	10387356
chr10	10408999	10409424
chr10	10439141	10439359
