chr	start	end
chr10	93098	93818
chr10	94002	94165
chr10	94527	95302
chr10	119652	120193
chr10	122133	122621
chr10	180265	180720
chr10	180865	182549
chr10	242994	243152
chr10	313778	313905
chr10	319183	319290
chr10	321809	321998
chr10	323315	323465
chr10	323625	323770
chr10	324003	324088
chr10	327172	327614
chr10	334493	334801
chr10	346533	346829
chr10	348952	349176
chr10	357295	357450
chr10	367490	369444
chr10	372859	373160
chr10	373991	374131
chr10	384260	384304
chr10	384491	384654
chr10	387365	387535
chr10	390268	394009
chr10	394288	394904
chr10	395107	395484
chr10	396975	397324
chr10	403584	403874
chr10	404127	404267
chr10	405132	405440
chr10	409255	409524
chr10	410345	410443
chr10	411791	411915
chr10	412171	412304
chr10	413697	414144
chr10	422019	422412
chr10	423554	423680
chr10	426236	426742
chr10	431124	431294
chr10	431510	432236
chr10	432818	433146
chr10	435711	436671
chr10	438207	438526
chr10	438659	438847
chr10	444997	445217
chr10	453088	453167
chr10	459713	460021
chr10	461810	462033
chr10	463460	463727
chr10	464098	464558
chr10	464903	465118
chr10	465333	465615
chr10	465844	466548
chr10	466737	466904
chr10	467957	468444
chr10	468688	468862
chr10	470960	471356
chr10	485223	485338
chr10	490145	490480
chr10	498298	498596
chr10	516539	516720
chr10	518241	518472
chr10	519383	519599
chr10	520470	520568
chr10	525795	526108
chr10	526414	527138
chr10	527720	528155
chr10	529279	529529
chr10	530744	531374
chr10	532287	532411
chr10	532719	532930
chr10	533359	533488
chr10	534667	535056
chr10	535650	536466
chr10	537097	537220
chr10	548982	549172
chr10	550236	550961
chr10	552995	553635
chr10	554711	555818
chr10	556391	556764
chr10	556950	557273
chr10	557562	557723
chr10	557892	557997
chr10	559409	559515
chr10	560323	560656
chr10	566119	566196
chr10	568755	569010
chr10	574334	574672
chr10	575938	576064
chr10	576948	577331
chr10	577504	577762
chr10	589179	589465
chr10	589880	590016
chr10	616918	617262
chr10	629582	629729
chr10	630384	631306
chr10	633085	633311
chr10	639972	640141
chr10	640362	641087
chr10	641639	642033
chr10	651074	651184
chr10	651965	653154
chr10	661057	661390
chr10	664696	664806
chr10	665102	665504
chr10	667052	667121
chr10	670772	671215
chr10	671446	671630
chr10	672737	673999
chr10	675907	676118
chr10	676545	676864
chr10	677302	677485
chr10	678153	679054
chr10	679215	679488
chr10	682320	682958
chr10	685081	685574
chr10	685878	686911
chr10	693239	695190
chr10	697747	697938
chr10	709592	710415
chr10	711539	711695
chr10	711912	712034
chr10	712207	712594
chr10	716097	716281
chr10	717060	718331
chr10	724510	725486
chr10	729420	729969
chr10	734438	736244
chr10	736695	737440
chr10	743275	744014
chr10	766077	766514
chr10	768627	770138
chr10	772294	773163
chr10	778073	778285
chr10	781906	782190
chr10	783077	783432
chr10	784008	784289
chr10	792051	792226
chr10	819603	820511
chr10	820735	821501
chr10	822784	823839
chr10	829343	829472
chr10	829799	831279
chr10	832646	833426
chr10	834371	834572
chr10	834847	835889
chr10	839649	840203
chr10	850845	852024
chr10	853010	853342
chr10	855676	855948
chr10	856385	856583
chr10	860643	860997
chr10	976538	978993
chr10	994934	995281
chr10	1000298	1000641
chr10	1005528	1005893
chr10	1011183	1011468
chr10	1021516	1022581
chr10	1033860	1034894
chr10	1042095	1042210
chr10	1057868	1058052
chr10	1083123	1083312
chr10	1084818	1084937
chr10	1094264	1095580
chr10	1102176	1103342
chr10	1120423	1120894
chr10	1129680	1129815
chr10	1135616	1135740
chr10	1142233	1142752
chr10	1147630	1148272
chr10	1149661	1149762
chr10	1156482	1156617
chr10	1166428	1167028
chr10	1167737	1167838
chr10	1174751	1175008
chr10	1175670	1175781
chr10	1198658	1198928
chr10	1200124	1200278
chr10	1205120	1205835
chr10	1206614	1206729
chr10	1209363	1209472
chr10	1213310	1213490
chr10	1219176	1219428
chr10	1222477	1222722
chr10	1228357	1228494
chr10	1228949	1229069
chr10	1230836	1231517
chr10	1235771	1236130
chr10	1245458	1245588
chr10	1245888	1246046
chr10	1247465	1247714
chr10	1248720	1248825
chr10	1251701	1252801
chr10	1256369	1256671
chr10	1259970	1260514
chr10	1262943	1263393
chr10	1281538	1282084
chr10	1284161	1284423
chr10	1285330	1285537
chr10	1286380	1286761
